Day,Date High,High,Date Low,Low,Closing,Trades,Shares,Turnover,Last Traded,Days Traded
1/4/2010,4-Jan-10,50,4-Jan-10,48,49.25,18,9000,433650,4-Jan-10,1
1/5/2010,5-Jan-10,49,5-Jan-10,48,48.25,5,5200,251850,5-Jan-10,1
1/6/2010,6-Jan-10,49,6-Jan-10,48,48.25,44,74200,3616375,6-Jan-10,1
1/7/2010,7-Jan-10,49,7-Jan-10,48.25,48.25,9,10500,508100,7-Jan-10,1
1/8/2010,8-Jan-10,48.75,8-Jan-10,48.25,48.25,9,7800,376625,8-Jan-10,1
1/11/2010,11-Jan-10,48.25,11-Jan-10,48,48,8,24500,1176250,11-Jan-10,1
1/12/2010,12-Jan-10,48.5,12-Jan-10,47,47,4,1100,52500,12-Jan-10,1
1/13/2010,13-Jan-10,47,13-Jan-10,46,46.75,8,2600,120975,13-Jan-10,1
1/15/2010,15-Jan-10,47.5,15-Jan-10,46.5,47.5,5,1700,80150,15-Jan-10,1
1/18/2010,18-Jan-10,47,18-Jan-10,46,46.5,18,20200,940375,18-Jan-10,1
1/19/2010,19-Jan-10,46.5,19-Jan-10,45,45,12,20900,949675,19-Jan-10,1
1/20/2010,20-Jan-10,49.75,20-Jan-10,46,49.5,21,34700,1661575,20-Jan-10,1
1/21/2010,21-Jan-10,48,21-Jan-10,47.75,47.75,4,3800,181900,21-Jan-10,1
1/22/2010,22-Jan-10,49,22-Jan-10,47.25,48.75,18,16200,781500,22-Jan-10,1
1/25/2010,25-Jan-10,49,25-Jan-10,46,48.5,14,12000,581725,25-Jan-10,1
1/26/2010,26-Jan-10,49,26-Jan-10,46,48.25,8,3500,168750,26-Jan-10,1
1/28/2010,28-Jan-10,48,28-Jan-10,47,48,16,15200,725400,28-Jan-10,1
2/1/2010,1-Feb-10,51,1-Feb-10,48.5,48.75,27,653300,33128725,1-Feb-10,1
2/2/2010,2-Feb-10,49.75,2-Feb-10,48,49.75,18,31000,1526425,2-Feb-10,1
2/3/2010,3-Feb-10,52,3-Feb-10,49.5,49.75,85,320300,16032225,3-Feb-10,1
2/5/2010,5-Feb-10,51.5,5-Feb-10,50,50.25,19,10300,519175,5-Feb-10,1
2/8/2010,8-Feb-10,52.25,8-Feb-10,50.5,52,38,55600,2885375,8-Feb-10,1
2/9/2010,9-Feb-10,52,9-Feb-10,50.5,51,22,35200,1794825,9-Feb-10,1
2/10/2010,10-Feb-10,51,10-Feb-10,50,50,22,21700,1086125,10-Feb-10,1
2/11/2010,11-Feb-10,50.5,11-Feb-10,48.75,48.75,14,17600,864150,11-Feb-10,1
2/12/2010,12-Feb-10,48.5,12-Feb-10,48.5,48.5,6,2700,130950,12-Feb-10,1
2/15/2010,15-Feb-10,48,15-Feb-10,47.75,48,9,7600,364200,15-Feb-10,1
2/16/2010,16-Feb-10,49.25,16-Feb-10,49,49,5,1300,63725,16-Feb-10,1
2/17/2010,17-Feb-10,48.5,17-Feb-10,48.5,48.5,2,300,14550,17-Feb-10,1
2/18/2010,18-Feb-10,48.5,18-Feb-10,48,48.25,8,4500,216975,18-Feb-10,1
2/19/2010,19-Feb-10,50,19-Feb-10,49.5,49.5,13,10400,517275,19-Feb-10,1
2/22/2010,22-Feb-10,50,22-Feb-10,49.5,49.75,19,11100,551825,22-Feb-10,1
2/23/2010,23-Feb-10,51.75,23-Feb-10,49.75,51,97,3958200,198131425,23-Feb-10,1
2/24/2010,24-Feb-10,52,24-Feb-10,50.25,51.5,25,194800,9979975,24-Feb-10,1
2/25/2010,25-Feb-10,51.5,25-Feb-10,50.5,50.75,37,49000,2489900,25-Feb-10,1
2/26/2010,26-Feb-10,51,26-Feb-10,50,50.5,14,16200,823925,26-Feb-10,1
3/1/2010,1-Mar-10,56.75,1-Mar-10,50,55,243,629200,34213325,1-Mar-10,1
3/2/2010,2-Mar-10,60,2-Mar-10,55,58.25,349,1715400,102006325,2-Mar-10,1
3/3/2010,3-Mar-10,59.5,3-Mar-10,55,57.5,50,54300,3136850,3-Mar-10,1
3/4/2010,4-Mar-10,58,4-Mar-10,56.75,58,47,61900,3570600,4-Mar-10,1
3/5/2010,5-Mar-10,58.5,5-Mar-10,57,57.5,30,53200,3081825,5-Mar-10,1
3/8/2010,8-Mar-10,58,8-Mar-10,57,57.5,40,133600,7690400,8-Mar-10,1
3/9/2010,9-Mar-10,57.75,9-Mar-10,56,56,13,6300,355875,9-Mar-10,1
3/10/2010,10-Mar-10,57,10-Mar-10,56.5,57,18,19700,1119900,10-Mar-10,1
3/11/2010,11-Mar-10,57.75,11-Mar-10,57,57.25,23,53400,3058125,11-Mar-10,1
3/12/2010,12-Mar-10,58,12-Mar-10,57,57,33,62400,3606450,12-Mar-10,1
3/15/2010,15-Mar-10,57.25,15-Mar-10,56.75,57,7,2900,165075,15-Mar-10,1
3/16/2010,16-Mar-10,58,16-Mar-10,57,57.25,13,17300,997050,16-Mar-10,1
3/17/2010,17-Mar-10,57,17-Mar-10,57,57,13,44500,2536500,17-Mar-10,1
3/18/2010,18-Mar-10,57,18-Mar-10,56,56.25,7,5700,321200,18-Mar-10,1
3/19/2010,19-Mar-10,57,19-Mar-10,55.75,56,25,12400,695650,19-Mar-10,1
3/22/2010,22-Mar-10,57,22-Mar-10,56,56.25,15,18500,1036725,22-Mar-10,1
3/23/2010,23-Mar-10,57.75,23-Mar-10,56,56.5,17,14000,787850,23-Mar-10,1
3/24/2010,24-Mar-10,56,24-Mar-10,56,56,11,7700,431200,24-Mar-10,1
3/25/2010,25-Mar-10,56.5,25-Mar-10,56,56.5,11,9400,529225,25-Mar-10,1
3/26/2010,26-Mar-10,58,26-Mar-10,57,57.75,17,67700,3925275,26-Mar-10,1
3/30/2010,30-Mar-10,58,30-Mar-10,57,57,8,13800,787100,30-Mar-10,1
3/31/2010,31-Mar-10,57,31-Mar-10,55.5,55.5,6,2700,150850,31-Mar-10,1
4/1/2010,1-Apr-10,57,1-Apr-10,55.5,56.5,9,23000,1295975,1-Apr-10,1
4/5/2010,5-Apr-10,58,5-Apr-10,55.5,57.25,12,9300,524950,5-Apr-10,1
4/6/2010,6-Apr-10,59,6-Apr-10,58,59,27,65100,3827300,6-Apr-10,1
4/7/2010,7-Apr-10,61,7-Apr-10,59,60,61,76500,4587825,7-Apr-10,1
4/8/2010,8-Apr-10,61.75,8-Apr-10,60,60.5,28,15600,950300,8-Apr-10,1
4/12/2010,12-Apr-10,61.75,12-Apr-10,60,60.75,17,6800,414525,12-Apr-10,1
4/15/2010,15-Apr-10,61,15-Apr-10,59,61,4,2500,150100,15-Apr-10,1
4/16/2010,16-Apr-10,61,16-Apr-10,58,61,22,23700,1435850,16-Apr-10,1
4/19/2010,19-Apr-10,64,19-Apr-10,60,63.5,108,175900,11076875,19-Apr-10,1
4/20/2010,20-Apr-10,64.5,20-Apr-10,62.25,64,35,162600,10402525,20-Apr-10,1
4/21/2010,21-Apr-10,66,21-Apr-10,64,64.5,53,81300,5271225,21-Apr-10,1
4/22/2010,22-Apr-10,64,22-Apr-10,62.5,63.25,20,15100,960650,22-Apr-10,1
4/23/2010,23-Apr-10,64.5,23-Apr-10,63.5,63.5,10,6200,397425,23-Apr-10,1
4/26/2010,26-Apr-10,64,26-Apr-10,63.5,63.5,11,4600,292850,26-Apr-10,1
4/27/2010,27-Apr-10,64,27-Apr-10,63,63,15,9200,584300,27-Apr-10,1
4/29/2010,29-Apr-10,63.5,29-Apr-10,63,63,14,13700,868600,29-Apr-10,1
4/30/2010,30-Apr-10,63.75,30-Apr-10,62.75,63.75,13,5100,322325,30-Apr-10,1
5/3/2010,3-May-10,63.75,3-May-10,62.5,62.5,23,21800,1370850,3-May-10,1
5/4/2010,4-May-10,62.75,4-May-10,62,62.25,9,38000,2366825,4-May-10,1
5/5/2010,5-May-10,62,5-May-10,61,61.75,6,1600,98850,5-May-10,1
5/6/2010,6-May-10,62,6-May-10,61,62,15,16000,979875,6-May-10,1
5/7/2010,7-May-10,61.5,7-May-10,61,61,11,5100,311650,7-May-10,1
5/10/2010,10-May-10,61.75,10-May-10,61,61.25,7,1400,85675,10-May-10,1
5/11/2010,11-May-10,61,11-May-10,60,60.25,11,4900,295550,11-May-10,1
5/12/2010,12-May-10,61,12-May-10,61,61,1,2000,122000,12-May-10,1
5/13/2010,13-May-10,61,13-May-10,61,61,2,1000,61000,13-May-10,1
5/14/2010,14-May-10,60.25,14-May-10,60,60.25,17,20700,1244050,14-May-10,1
5/17/2010,17-May-10,60.25,17-May-10,60,60,13,12400,744025,17-May-10,1
5/18/2010,18-May-10,60,18-May-10,60,60,1,200,12000,18-May-10,1
5/19/2010,19-May-10,61.25,19-May-10,60,60,12,16500,990875,19-May-10,1
5/21/2010,21-May-10,60,21-May-10,60,60,4,1200,72000,21-May-10,1
5/24/2010,24-May-10,60,24-May-10,58,59.75,10,9700,579525,24-May-10,1
5/26/2010,26-May-10,59.75,26-May-10,59.5,59.5,6,1800,107150,26-May-10,1
5/31/2010,31-May-10,59.5,31-May-10,59,59,7,6600,389550,31-May-10,1
6/1/2010,1-Jun-10,61,1-Jun-10,59,61,31,36800,2210850,1-Jun-10,1
6/2/2010,2-Jun-10,60,2-Jun-10,59.5,59.5,2,2100,125950,2-Jun-10,1
6/3/2010,3-Jun-10,61,3-Jun-10,59.5,61,19,17000,1019875,3-Jun-10,1
6/4/2010,4-Jun-10,62,4-Jun-10,60.5,60.5,22,7200,440225,4-Jun-10,1
6/7/2010,7-Jun-10,64.25,7-Jun-10,62,64,37,138300,8797325,7-Jun-10,1
6/8/2010,8-Jun-10,75,8-Jun-10,64.75,72,149,172700,11718650,8-Jun-10,1
6/9/2010,9-Jun-10,74.25,9-Jun-10,67,68,101,56400,4011400,9-Jun-10,1
6/10/2010,10-Jun-10,69,10-Jun-10,68,68.5,21,50600,3451825,10-Jun-10,1
6/11/2010,11-Jun-10,72,11-Jun-10,68.25,69.75,39,34200,2405575,11-Jun-10,1
6/14/2010,14-Jun-10,72.5,14-Jun-10,70.5,71.25,36,61100,4359750,14-Jun-10,1
6/15/2010,15-Jun-10,72,15-Jun-10,67,68.5,36,28900,2033325,15-Jun-10,1
6/16/2010,16-Jun-10,69.75,16-Jun-10,68,68.75,22,14400,986750,16-Jun-10,1
6/17/2010,17-Jun-10,68,17-Jun-10,67,67.75,11,12200,820500,17-Jun-10,1
6/21/2010,21-Jun-10,69,21-Jun-10,68,69,23,123000,8431550,21-Jun-10,1
6/22/2010,22-Jun-10,69.5,22-Jun-10,68,69.5,8,5000,340725,22-Jun-10,1
6/23/2010,23-Jun-10,69,23-Jun-10,68,68.25,12,15700,1073000,23-Jun-10,1
6/24/2010,24-Jun-10,68.5,24-Jun-10,68,68.5,26,88000,6004300,24-Jun-10,1
6/28/2010,28-Jun-10,68.25,28-Jun-10,68.25,68.25,11,15900,1085175,28-Jun-10,1
6/29/2010,29-Jun-10,69.75,29-Jun-10,68,68,8,5200,354600,29-Jun-10,1
6/30/2010,30-Jun-10,68,30-Jun-10,68,68,8,6700,455600,30-Jun-10,1
7/1/2010,1-Jul-10,68.5,1-Jul-10,68.5,68.5,5,3400,232900,1-Jul-10,1
7/2/2010,2-Jul-10,69,2-Jul-10,68,68,8,8600,588300,2-Jul-10,1
