Day,Date High,High,Date Low,Low,Closing,Trades,Shares,Turnover,Last Traded,Days Traded
1/4/2010,4-Jan-10,70,4-Jan-10,66.5,68.25,34,37900,2607025,4-Jan-10,1
1/5/2010,5-Jan-10,71,5-Jan-10,68,69.25,52,101900,7109525,5-Jan-10,1
1/6/2010,6-Jan-10,70.75,6-Jan-10,67,68,6,900,61850,6-Jan-10,1
1/7/2010,7-Jan-10,72,7-Jan-10,66.5,70.25,55,176400,12345300,7-Jan-10,1
1/8/2010,8-Jan-10,74,8-Jan-10,70,73.25,11,2800,203575,8-Jan-10,1
1/11/2010,11-Jan-10,75,11-Jan-10,73.25,74,11,28600,2115850,11-Jan-10,1
1/12/2010,12-Jan-10,75,12-Jan-10,70,72,18,8800,638625,12-Jan-10,1
1/13/2010,13-Jan-10,74,13-Jan-10,72,72,3,1300,95950,13-Jan-10,1
1/15/2010,15-Jan-10,79,15-Jan-10,72,78.25,124,257800,19472575,15-Jan-10,1
1/18/2010,18-Jan-10,80,18-Jan-10,76,77.25,42,37400,2905375,18-Jan-10,1
1/19/2010,19-Jan-10,79,19-Jan-10,74,74.25,20,20900,1558400,19-Jan-10,1
1/20/2010,20-Jan-10,78,20-Jan-10,74.25,75,28,27600,2098450,20-Jan-10,1
1/21/2010,21-Jan-10,75,21-Jan-10,75,75,4,2000,150000,21-Jan-10,1
1/22/2010,22-Jan-10,77,22-Jan-10,73,73.75,33,17800,1333575,22-Jan-10,1
1/25/2010,25-Jan-10,75,25-Jan-10,72.5,73.25,34,32900,2408850,25-Jan-10,1
1/26/2010,26-Jan-10,75.5,26-Jan-10,73,73.25,16,21100,1551275,26-Jan-10,1
1/28/2010,28-Jan-10,76,28-Jan-10,73,74.5,67,145000,10798675,28-Jan-10,1
2/1/2010,1-Feb-10,79,1-Feb-10,75,77,57,107700,8225600,1-Feb-10,1
2/2/2010,2-Feb-10,83,2-Feb-10,78.25,82,168,684800,54802050,2-Feb-10,1
2/3/2010,3-Feb-10,90,3-Feb-10,83,87,176,1841500,164837650,3-Feb-10,1
2/5/2010,5-Feb-10,88,5-Feb-10,85,85.5,69,223000,19254700,5-Feb-10,1
